Comment,Designator,Footprint,LCSC,Quantity
0.1u,"C1,C2,C3,C4",C_0402_1005Metric,C1525,4
10k,"R3,R4,R8,R9",R_0402_1005Metric,C60489,4
12pF,"C7,C8",C_0402_1005Metric,C1547,2
16MHz,Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,C254260,1
1k,"R5,R6,R7",R_0402_1005Metric,C11702,3
1u,C6,C_0402_1005Metric,C52923,1
22,"R1,R2",R_0402_1005Metric,C25092,2
4.7u,C5,C_0603_1608Metric,C19666,1
74HC138,U2,TSSOP-16_4.4x5mm_P0.65mm,C157527,1
ATmega32U4,U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.15x5.15mm,C112161,1
Left,H1,PinHeader_2x13_P2.00mm_Vertical,C2883299,1
Polyfuse_Small,F1,R_0805,C22435710,1
Right,H2,PinHeader_2x13_P2.00mm_Vertical,C2883299,1
USBLC6-2P6,U3,SOT-666,C15999,1
