Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0402_1005Metric,25.116,-3.898,180.0,bottom
C2,0.1u,C_0402_1005Metric,42.003,-5.69,270.0,bottom
C3,0.1u,C_0402_1005Metric,20.036,-11.303,90.0,bottom
C4,0.1u,C_0402_1005Metric,42.003,-10.897,90.0,bottom
C5,4.7u,C_0603_1608Metric,15.2908,-20.9804,90.0,bottom
C6,1u,C_0402_1005Metric,37.713,-13.056,180.0,bottom
C7,12pF,C_0402_1005Metric,29.0068,-7.0612,0.0,bottom
C8,12pF,C_0402_1005Metric,28.9332,-9.5504,0.0,bottom
F1,Polyfuse_Small,R_0805,8.4328,-12.954,270.0,bottom
H1,Left,PinHeader_2x13_P2.00mm_Vertical,5.0132,-17.0068,0.0,bottom
H2,Right,PinHeader_2x13_P2.00mm_Vertical,50.5112,-17.0292,0.0,bottom
R1,22,R_0402_1005Metric,11.5316,-7.366,0.0,bottom
R2,22,R_0402_1005Metric,11.5316,-8.6868,0.0,bottom
R3,10k,R_0402_1005Metric,47.0408,-29.0576,180.0,bottom
R4,10k,R_0402_1005Metric,40.354,-3.404,180.0,bottom
R5,1k,R_0402_1005Metric,47.0448,-12.954,0.0,bottom
R6,1k,R_0402_1005Metric,47.0428,-14.986,0.0,bottom
R7,1k,R_0402_1005Metric,47.0428,-17.018,0.0,bottom
R8,10k,R_0402_1005Metric,47.0408,-28.0416,0.0,bottom
R9,10k,R_0402_1005Metric,47.0408,-27.0256,0.0,bottom
U1,ATmega32U4,QFN-44-1EP_7x7mm_P0.5mm_EP5.15x5.15mm,37.348,-8.118,90.0,bottom
U2,74HC138,TSSOP-16_4.4x5mm_P0.65mm,23.368,-8.255,180.0,bottom
U3,USBLC6-2P6,SOT-666,9.0424,-8.0255,180.0,bottom
Y1,16MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,31.0896,-8.4836,225.0,bottom
